"ISP (CET/CEST)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"09/01/2021 08:00 - 09/01/2021 09:00","MBA|NO1","FCR","25.30","0.00","25.30","8.22"
"09/01/2021 09:00 - 09/01/2021 10:00","MBA|NO1","FCR","22.20","0.00","22.20","4.44"
"09/01/2021 10:00 - 09/01/2021 11:00","MBA|NO1","FCR","21.80","6.54","21.80",""
"09/01/2021 11:00 - 09/01/2021 12:00","MBA|NO1","FCR","20.80","5.72","20.80",""
"09/01/2021 12:00 - 09/01/2021 13:00","MBA|NO1","FCR","19.70","0.00","19.70","3.45"
"09/01/2021 13:00 - 09/01/2021 14:00","MBA|NO1","FCR","20.80","0.00","20.80","3.12"
"09/01/2021 14:00 - 09/01/2021 15:00","MBA|NO1","FCR","20.80","0.00","20.80","4.16"
"09/01/2021 15:00 - 09/01/2021 16:00","MBA|NO1","FCR","20.80","0.00","20.80",""
"09/01/2021 16:00 - 09/01/2021 17:00","MBA|NO1","FCR","32.80","7.38","32.80",""
"09/01/2021 17:00 - 09/01/2021 18:00","MBA|NO1","FCR","32.70","1.64","32.70",""
"09/01/2021 18:00 - 09/01/2021 19:00","MBA|NO1","FCR","32.80","1.64","32.80",""
"09/01/2021 19:00 - 09/01/2021 20:00","MBA|NO1","FCR","37.80","0.00","37.80","8.51"
"09/01/2021 20:00 - 09/01/2021 21:00","MBA|NO1","FCR","31.80","0.00","31.80","0.80"
"09/01/2021 21:00 - 09/01/2021 22:00","MBA|NO1","FCR","27.80","7.65","27.80",""
"09/01/2021 22:00 - 09/01/2021 23:00","MBA|NO1","FCR","31.50","11.81","31.50",""
"09/01/2021 23:00 - 10/01/2021 00:00","MBA|NO1","FCR","32.80","9.02","32.80",""
"10/01/2021 00:00 - 10/01/2021 01:00","MBA|NO1","FCR","32.70","4.09","32.70",""
"10/01/2021 01:00 - 10/01/2021 02:00","MBA|NO1","FCR","37.70","15.08","37.70",""
"10/01/2021 02:00 - 10/01/2021 03:00","MBA|NO1","FCR","37.60","0.00","37.60","9.40"
"10/01/2021 03:00 - 10/01/2021 04:00","MBA|NO1","FCR","37.70","0.00","37.70","14.14"
"10/01/2021 04:00 - 10/01/2021 05:00","MBA|NO1","FCR","37.70","9.43","37.70",""
"10/01/2021 05:00 - 10/01/2021 06:00","MBA|NO1","FCR","37.80","5.67","37.80",""
"10/01/2021 06:00 - 10/01/2021 07:00","MBA|NO1","FCR","37.70","3.77","37.70",""
"10/01/2021 07:00 - 10/01/2021 08:00","MBA|NO1","FCR","34.40","3.44","34.40",""
"10/01/2021 08:00 - 10/01/2021 09:00","MBA|NO1","FCR","31.80","2.39","31.80",""
"10/01/2021 09:00 - 10/01/2021 10:00","MBA|NO1","FCR","28.80","3.60","28.80",""
